product_title,product_sku,product_image,product_description
Mystic Brand Damen Hoody Sweat blau,20062703,"['http://www.kite-team.de/media/image/product/19564/lg/mystic-brand-damen-hoody-sweat-blau.jpg', 'http://www.kite-team.de/media/image/product/19564/lg/mystic-brand-damen-hoody-sweat-blau~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Mystic Brand Damen Hoody Sweat rosa,20062704,"['http://www.kite-team.de/media/image/product/19569/lg/mystic-brand-damen-hoody-sweat-rosa.jpg', 'http://www.kite-team.de/media/image/product/19569/lg/mystic-brand-damen-hoody-sweat-rosa~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Mystic Brand Herren Hoody Sweat blau,20062702,"['http://www.kite-team.de/media/image/product/19559/lg/mystic-brand-herren-hoody-sweat-blau.jpg', 'http://www.kite-team.de/media/image/product/19559/lg/mystic-brand-herren-hoody-sweat-blau~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Mystic Brand Herren Hoody Sweat rot,20062701,"['http://www.kite-team.de/media/image/product/19554/lg/mystic-brand-herren-hoody-sweat-rot.jpg', 'http://www.kite-team.de/media/image/product/19554/lg/mystic-brand-herren-hoody-sweat-rot~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Mystic Rider Herren Sweat blau,20062705,"['http://www.kite-team.de/media/image/product/19574/lg/mystic-rider-herren-sweat-blau.jpg', 'http://www.kite-team.de/media/image/product/19574/lg/mystic-rider-herren-sweat-blau~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Mystic Rider Herren Sweat grau,20062706,"['http://www.kite-team.de/media/image/product/19579/lg/mystic-rider-herren-sweat-grau.jpg', 'http://www.kite-team.de/media/image/product/19579/lg/mystic-rider-herren-sweat-grau~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Protest ODIN Herren Hoody schwarz,20063714,"['http://www.kite-team.de/media/image/product/19245/lg/protest-odin-herren-hoody-schwarz.jpg', 'http://www.kite-team.de/media/image/product/19245/lg/protest-odin-herren-hoody-schwarz~2.jpg', 'http://www.kite-team.de/media/image/product/19245/lg/protest-odin-herren-hoody-schwarz~3.jpg']","
Details:Freu dich auf das Odin von Protest. Dieses aufregende Hoodie ist weich, warm und superbequem. Das Odin hat eine weite Passform und eine längere Länge als ein normales Hoodie. Die Vorderseite ist mit einem fantastischen Wellenmotiv bedruckt. Das Odin von Protest kombiniert Wärme mit Street Attitude.
Material:65% Polyester, 35% BaumwolleFarbe:True BlackPassform:relaxed fit, long lengthWaschanleitung:Waschen auf links 40°C|Nicht bleichen|Nicht im Trommeltrockner trocknen|Bügeln mit geringer Temperatur auf links (ein Punkt)|Chemisch reinigen erlaubt|Mit gleichen Farben waschenGrößentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm46/XS90-9377-8194-9648/S94-9782-8697-9950/M98-10187-91100-10252/L102-10592-96103-10554/XL106-10997-101106-108"
Mystic Herren Sweater Cooper,19062702,"['http://www.kite-team.de/media/image/product/17128/lg/mystic-herren-sweater-cooper.jpg', 'http://www.kite-team.de/media/image/product/17128/lg/mystic-herren-sweater-cooper~2.jpg']","Kiteladen OG
Salzburgerstrasse 77
5110 Oberndorf  Surfshop 
   Kontaktformular 
  info@kiteladen.at 
   +43 (0) 720 512 883 "
Rip Curl Herren Hoody Pro Model Fleeceoberteil black L,19063806-003,"['http://www.kite-team.de/media/image/product/17046/lg/rip-curl-herren-hoody-pro-model-fleeceoberteil-black-l.jpg', 'http://www.kite-team.de/media/image/product/17046/lg/rip-curl-herren-hoody-pro-model-fleeceoberteil-black-l~2.jpg']","
Pro Model Fleeceoberteil

Aus unserer Team-Kollektion. Das Pro Model Fleece ist mit unserem ausdrucksstarken Surfer-Print versehen. Das perfekte Produkt für eine frühmorgendliche Prüfung des Wellengangs. 
Größentabelle:
GrößeBrustumfang in cmKörpergröße in cmHüftumfang in cmXS85-87.5168-17185-87.5S90-92.5173-17690-92.5M95-97.5178-18195-97.5L100-102.5183-186100-102.5XL105-107.5188-198105-107.5XXL110-112.5195110-112.5XXXL115195115"
Protest Boys Cali 18 Full Zip Hoody,18063710,"['http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~2.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~3.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~4.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~5.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~6.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~7.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~8.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~9.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~10.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~11.jpg', 'http://www.kite-team.de/media/image/product/8607/lg/protest-boys-cali-18-full-zip-hoody~12.jpg']","
Details:
Hier ist das Cali 18 von Protest, dein Lieblings-Hoodie für die nächste Saison. Der Hoodie ist aus meliertem Baumwollmischgewebe hergestellt, das außen glatt und innen weich wie Fleece ist. Drt Cali 18 mit Kängurutaschen und geripptem Rand am Saum und an den Bündchen ist der perfekte Casual Hoodie. Anziehen und los geht's.  
Material:
65% Polyester, 35% Baumwolle
Größentabelle:
GrößeBrustumfang in cmTaillenumfang in cmHüftumfang in cm46/XS90-9377-8194-9648/S94-9782-8697-9950/M98-10187-91100-10252/L102-10592-96106-10854/XL106-10997-101106-108"
